V1_R1_lh,V1_R2_lh,V2_R1_lh,V2_R2_lh,V3_R1_lh,V3_R2_lh,V4_R1_lh,V4_R2_lh,V1_R1_rh,V1_R2_rh,V2_R1_rh,V2_R2_rh,V3_R1_rh,V3_R2_rh,V4_R1_rh,V4_R2_rh,NLetters,NLetters_S1,NLetters_S2,NLetters_RightMeridian,NLetters_LeftMeridian,crowdingDist_Ecc5_Left_Meridian_Ses1,crowdingDist_Ecc5_Left_Meridian_Ses2,crowdingDist_Ecc5_Lower_Meridian_Ses1,crowdingDist_Ecc5_Lower_Meridian_Ses2,crowdingDist_Ecc5_Right_Meridian_Ses1,crowdingDist_Ecc5_Right_Meridian_Ses2,crowdingDist_Ecc5_Upper_Meridian_Ses1,crowdingDist_Ecc5_Upper_Meridian_Ses2,crowdingDist_Ecc10_Left_Meridian_Ses1,crowdingDist_Ecc10_Left_Meridian_Ses2,crowdingDist_Ecc10_Lower_Meridian_Ses1,crowdingDist_Ecc10_Lower_Meridian_Ses2,crowdingDist_Ecc10_Right_Meridian_Ses1,crowdingDist_Ecc10_Right_Meridian_Ses2,crowdingDist_Ecc10_Upper_Meridian_Ses1,crowdingDist_Ecc10_Upper_Meridian_Ses2
1884,1836,1867,1757,1192,1315,308,389,2182,2032,1761,2017,1293,1342,491,493,619,596,642,675,376,1.36890343165507,0.94640237250227,1.19990300799395,1.03090258433283,1.01400254196672,0.760501906475038,1.53790385531619,1.60550402478064,1.85900466027232,2.23080559232678,2.94060737170348,2.01110504156732,1.11540279616339,1.94350487210288,4.71511182014524,5.23901313349471
1227,1287,1548,1400,1095,1258,661,652,1568,1639,1220,1147,1112,1156,734,564,927,929,925,1439,710,0.760501906475038,0.60840152518003,1.11540279616339,1.16610292326173,0.69290173701059,0.456301143885023,1.38580347402118,1.43650360111952,1.74070436370953,1.87590470263843,2.43360610072012,3.63350910871407,1.16610292326173,0.997102499600605,3.09270775299849,4.00531004076853
1382,1321,1610,1694,1125,1089,495,296,1229,1284,1428,1459,1143,1388,516,315,303,295,309,179,148,1.80830453317398,1.8421046179062,1.53790385531619,1.5548038976823,1.6900042366112,1.74070436370953,2.21390554996067,1.9773049568351,3.2448081342935,3.19410800719516,3.31240830375794,3.19410800719516,2.73780686331014,2.94060737170348,3.98840999840242,3.43070860032073
1112,1109,1185,1353,843,957,506,362,1098,1077,931,867,586,975,330,148,353,312,398,281,237,1.38580347402118,0.94640237250227,1.45340364348563,1.50410377058396,1.30130326219062,1.18300296562784,2.38290597362179,1.43650360111952,3.36310843085628,3.05890766826626,4.05601016786687,4.54611139648412,2.53500635491679,2.46740618545235,4.529211354118,4.44471114228744
1226,1231,1227,1145,1608,1657,275,232,1801,1755,1472,1407,1198,1211,344,351,506,507,505,479,257,1.25060313509228,1.43650360111952,1.19990300799395,1.36890343165507,0.726701821742814,0.929502330136158,1.38580347402118,1.28440321982451,2.65330665147958,2.41670605835401,3.38000847322239,3.12650783773071,2.48430622781846,1.9773049568351,4.15741042206354,4.07291021023298
997,1020,906,839,651,648,474,416,931,973,917,1031,761,730,365,299,246,225,267,176,130,1.9773049568351,1.38580347402118,1.92660482973676,1.70690427897731,1.79140449080787,1.33510334692284,1.96040491446899,2.31530580415734,3.87010970183964,4.27571071862632,4.22501059152799,3.56590893924962,3.21100804956127,3.19410800719516,5.12071283693192,5.0869127521997
1194,1253,1407,1466,1239,1244,536,605,1066,1020,1552,1513,1075,1086,526,417,470,415,531,585,241,1.30130326219062,1.01400254196672,1.47030368585174,1.21680305036006,0.94640237250227,0.659101652278366,1.4196035587534,1.6900042366112,2.50120627018457,3.97150995603631,3.68420923581241,3.26170817665961,2.3998060159879,1.48720372821785,5.5094138113525,4.39401101518911
939,971,1217,1166,776,955,427,372,1132,1107,1324,1370,798,973,707,690,898,901,895,1312,825,0.642201609912254,0.794301991207262,1.35200338928896,0.963302414868382,0.557701398081695,0.557701398081695,1.48720372821785,1.36890343165507,1.70690427897731,1.28440321982451,3.17720796482905,3.21100804956127,1.01400254196672,1.40270351638729,3.54900889688351,4.27571071862632
1688,1741,1453,1409,911,961,389,364,1706,1735,1791,1541,1185,1203,999,969,1253,1141,1375,1783,1522,0.60840152518003,0.456301143885023,1.01400254196672,0.929502330136158,0.439401101518911,0.507001270983359,1.28440321982451,1.19990300799395,1.25060313509228,0.94640237250227,2.75470690567625,2.6871067362118,1.19990300799395,0.895702245403934,3.80250953237519,4.41091105755522
1560,1463,1723,1847,977,981,325,211,1738,1683,1336,1364,906,889,305,285,221,229,213,116,114,1.60550402478064,1.33510334692284,2.21390554996067,1.72380432134342,1.75760440607564,1.70690427897731,1.75760440607564,1.87590470263843,4.64751165068079,5.89811478577307,3.48140872741906,4.00531004076853,3.98840999840242,4.74891190487746,4.71511182014524,5.47561372662027
